"R_KD","B_KD","R_SIG_STR.","B_SIG_STR.","R_TOTAL_STR.","B_TOTAL_STR.","R_SUB_ATT","B_SUB_ATT","R_CTRL","B_CTRL","R_HEAD","B_HEAD","R_BODY","B_BODY","R_DISTANCE","B_DISTANCE","win_by","Fight_type","Winner","R_height_cm","R_reach_in_cm","R_stance","R_age","B_height_cm","B_reach_in_cm","B_stance","B_age","R_fighter","B_fighter"
0,1,0.485714285714286,0.714285714285714,0.521739130434783,0.722222222222222,0,0,0.566666666666667,0.3,0.25,0.72,0.3,0.666666666666667,0.484848484848485,0.625,"KO/TKO","Bantamweight Bout","Sean O'Malley",170.18,180.34,"Orthodox",34,180.34,182.88,"Switch",29,"Aljamain Sterling","Sean O'Malley"
0,0,0.402173913043478,0.608695652173913,0.414893617021277,0.612068965517241,0,0,1.35,0,0.38961038961039,0.344262295081967,0.416666666666667,0.888888888888889,0.388888888888889,0.601769911504425,"Decision - Unanimous","Middleweight Bout","Brad Tavares",187.96,198.12,"Orthodox",39,185.42,187.96,"Orthodox",36,"Chris Weidman","Brad Tavares"
0,0,0.409090909090909,0.606666666666667,0.548387096774194,0.649122807017544,0,0,1.16666666666667,2.53333333333333,0.24390243902439,0.355555555555556,0.636363636363636,0.941176470588235,0.409836065573771,0.6,"Decision - Unanimous","Welterweight Bout","Ian Garry",190.5,203.2,"Orthodox",36,190.5,187.96,"Orthodox",26,"Neil Magny","Ian Garry"
0,0,0.561752988047809,0.459349593495935,0.561752988047809,0.459349593495935,0,0,0,0,0.514150943396226,0.299435028248588,0.642857142857143,0.714285714285714,0.560975609756098,0.454918032786885,"Decision - Unanimous","Bantamweight Bout","Marlon Vera",172.72,177.8,"Switch",31,167.64,165.1,"Orthodox",37,"Marlon Vera","Pedro Munhoz"
0,0,0.517241379310345,0.576642335766423,0.5625,0.633540372670807,0,1,3,4.06666666666667,0.390243902439024,0.466019417475728,0.733333333333333,0.954545454545455,0.403100775193798,0.504950495049505,"Decision - Unanimous","Bantamweight Bout","Mario Bautista",177.8,182.88,"Switch",29,175.26,175.26,"Switch",30,"Da'Mon Blackshear","Mario Bautista"
0,0,0.833333333333333,0.285714285714286,0.75,0.375,0,0,0.783333333333333,0,0.8,0.285714285714286,1,0,0.5,0.285714285714286,"KO/TKO","Middleweight Bout","Gregory Rodrigues",190.5,190.5,"Orthodox",32,185.42,195.58,"Orthodox",35,"Gregory Rodrigues","Denis Tiuliulin"
0,0,0.512605042016807,0.411214953271028,0.590277777777778,0.488,2,0,1.13333333333333,2.38333333333333,0.455445544554455,0.290697674418605,0.833333333333333,0.894736842105263,0.471698113207547,0.35632183908046,"Submission","Lightweight Bout","Kurt Holobaugh",180.34,177.8,"Orthodox",37,177.8,180.34,"Orthodox",32,"Kurt Holobaugh","Austin Hubbard"
1,0,0.431818181818182,0.51006711409396,0.468531468531469,0.55421686746988,0,0,2.1,1.9,0.342105263157895,0.481481481481481,1,0.666666666666667,0.393162393162393,0.458015267175573,"Decision - Split","Middleweight Bout","Andre Petroski",182.88,185.42,"Switch",32,185.42,195.58,"Southpaw",36,"Andre Petroski","Gerald Meerschaert"
0,0,0.514469453376206,0.611940298507463,0.529051987767584,0.619047619047619,0,0,0,0,0.456692913385827,0.570175438596491,0.675675675675676,0.814814814814815,0.484732824427481,0.575107296137339,"Decision - Unanimous","Bantamweight Bout","Brad Katona",167.64,162.56,"Orthodox",32,177.8,180.34,"Orthodox",36,"Brad Katona","Cody Gibson"
1,0,0.666666666666667,0.380952380952381,0.666666666666667,0.5,0,0,0.516666666666667,0.0666666666666667,0.631578947368421,0.315789473684211,0.75,1,0.647058823529412,0.368421052631579,"KO/TKO","Light Heavyweight Bout","Khalil Rountree Jr.",185.42,193.04,"Southpaw",34,190.5,193.04,"Orthodox",34,"Khalil Rountree Jr.","Chris Daukaus"
